############################################
Teste=203
Precisao=1.0
Recall=1.0
Encontrados=97
Esperados=97
############################################
Alinhamentos esperados:


Funcao1=similarity.structure.ConceptNameSimilarity@768339d2
Peso1=0.995

Funcao2=similarity.structure.DirectIndividualSimilarity@71f4f4a2
Peso2=0.0

Funcao3=similarity.structure.CommentTokenSimilarity@45c94d92
Peso3=0.02

Funcao4=class similarity.FunctionContainer@FuncoesHierarquia
Peso4=0.0

Funcao5=similarity.structure.DirectSuperClassSimilarity@874afd1
Peso5=0.055

Funcao6=similarity.structure.DirectSubClassSimilarity@67d64aa4
Peso6=0.925

Funcao5=class similarity.FunctionContainer@FuncoesPropriedades
Peso5=0.005

Funcao6=similarity.structure.DirectPropertybyRangeDomainSimilarity@31d1e318
Peso6=0.76

Funcao7=similarity.structure.DirectPropertybyNameSimilarity@3e7b8d6d
Peso7=0.24

############################
#Similaridade dos recursos

(Academic            ,Academic            ,1.0)
(Academic            ,InCollection        ,0.25346372)
(Academic            ,Misc                ,0.2534375)
(Academic            ,Address             ,0.25195834)
(Academic            ,Date                ,0.24929167)
(Academic            ,MastersThesis       ,0.23461537)
(Academic            ,PhdThesis           ,0.2261111)
(Academic            ,TechReport          ,0.20370944)
(Academic            ,Collection          ,0.20344444)
(Academic            ,Conference          ,0.20265466)
(Academic            ,Proceedings         ,0.18511963)
(Academic            ,LectureNotes        ,0.17052086)
(Academic            ,InProceedings       ,0.15776497)
(Academic            ,MotionPicture       ,0.15772733)
(Academic            ,Informal            ,0.1290625)
(Academic            ,Part                ,0.12893242)
(Academic            ,Article             ,0.1288979)
(Academic            ,Manual              ,0.12873024)
(Academic            ,Chapter             ,0.12865885)
(Academic            ,School              ,0.12790625)
(Academic            ,Reference           ,0.113797404)
(Academic            ,PageRange           ,0.11168737)
(Academic            ,PersonList          ,0.10303915)
(Academic            ,Deliverable         ,0.0950734)
(Academic            ,Unpublished         ,0.09500118)
(Academic            ,Institution         ,0.093985766)
(Academic            ,InBook              ,0.0047450983)
(Academic            ,Report              ,0.0047094477)
(Academic            ,Booklet             ,0.0046874997)
(Academic            ,Book                ,0.004528302)
(Academic            ,Monograph           ,0.004528302)
(Academic            ,Journal             ,0.0036013068)
(Academic            ,Publisher           ,0.0035312497)
(Address             ,Address             ,1.0)
(Address             ,PhdThesis           ,0.44543055)
(Address             ,MastersThesis       ,0.38590062)
(Address             ,Date                ,0.28463712)
(Address             ,LectureNotes        ,0.25217223)
(Address             ,Academic            ,0.25195834)
(Address             ,InProceedings       ,0.23272648)
(Address             ,Reference           ,0.22346261)
(Address             ,PageRange           ,0.2222328)
(Address             ,Conference          ,0.20287648)
(Address             ,TechReport          ,0.20249493)
(Address             ,Proceedings         ,0.18424976)
(Address             ,Journal             ,0.14590105)
(Address             ,Part                ,0.14568108)
(Address             ,Misc                ,0.14556506)
(Address             ,Article             ,0.1454789)
(Address             ,Informal            ,0.12779722)
(Address             ,Monograph           ,0.11421269)
(Address             ,Publisher           ,0.11416825)
(Address             ,Collection          ,0.10305558)
(Address             ,PersonList          ,0.10214129)
(Address             ,Unpublished         ,0.09410333)
(Address             ,Deliverable         ,0.09396432)
(Address             ,InCollection        ,0.086076245)
(Address             ,Chapter             ,0.003922078)
(Address             ,Book                ,0.0036571426)
(Address             ,Institution         ,0.0036126983)
(Address             ,School              ,0.0036126983)
(Address             ,Manual              ,0.0036041662)
(Address             ,Report              ,0.0034949493)
(Address             ,Booklet             ,0.003422222)
(Address             ,MotionPicture       ,0.003333333)
(Address             ,InBook              ,0.0031111108)
(Article             ,Article             ,1.0)
(Article             ,MotionPicture       ,0.31048718)
(Article             ,Part                ,0.2888168)
(Article             ,Date                ,0.2850027)
(Article             ,Deliverable         ,0.27601278)
(Article             ,MastersThesis       ,0.23413828)
(Article             ,Reference           ,0.2249479)
(Article             ,Publisher           ,0.22475192)
(Article             ,PageRange           ,0.22324908)
(Article             ,Conference          ,0.20274213)
(Article             ,PersonList          ,0.20213075)
(Article             ,Unpublished         ,0.18547514)
(Article             ,Proceedings         ,0.18536828)
(Article             ,Institution         ,0.18454991)
(Article             ,InCollection        ,0.17051722)
(Article             ,LectureNotes        ,0.17011906)
(Article             ,InProceedings       ,0.15775727)
(Article             ,Report              ,0.1468056)
(Article             ,Manual              ,0.14650942)
(Article             ,Misc                ,0.14642856)
(Article             ,Booklet             ,0.14642856)
(Article             ,School              ,0.14578366)
(Article             ,Address             ,0.1454789)
(Article             ,Academic            ,0.1288979)
(Article             ,PhdThesis           ,0.115078464)
(Article             ,TechReport          ,0.10416278)
(Article             ,Collection          ,0.10415328)
(Article             ,InBook              ,0.004677419)
(Article             ,Book                ,0.0044916663)
(Article             ,Monograph           ,0.0044916663)
(Article             ,Chapter             ,0.004330261)
(Article             ,Informal            ,0.004285714)
(Article             ,Journal             ,0.0036366426)
(Book                ,Book                ,1.0)
(Book                ,InBook              ,0.6676774)
(Book                ,Booklet             ,0.5728571)
(Book                ,School              ,0.33530748)
(Book                ,Monograph           ,0.2261111)
(Book                ,Collection          ,0.20393826)
(Book                ,Report              ,0.17043746)
(Book                ,InCollection        ,0.1702226)
(Book                ,MotionPicture       ,0.15741025)
(Book                ,Journal             ,0.14629464)
(Book                ,Informal            ,0.12866071)
(Book                ,Publisher           ,0.11419637)
