############################################
Teste=224
Precisao=1.0
Recall=1.0
Encontrados=97
Esperados=97
############################################
Alinhamentos esperados:


Funcao1=similarity.structure.ConceptNameSimilarity@5e13b45c
Peso1=0.0

Funcao2=similarity.structure.DirectIndividualSimilarity@626db53c
Peso2=0.0

Funcao3=similarity.structure.CommentTokenSimilarity@4084f087
Peso3=0.995

Funcao4=class similarity.FunctionContainer@FuncoesHierarquia
Peso4=0.0

Funcao5=similarity.structure.DirectSuperClassSimilarity@203dcf41
Peso5=0.14

Funcao6=similarity.structure.DirectSubClassSimilarity@63cf2e4e
Peso6=0.35

Funcao5=class similarity.FunctionContainer@FuncoesPropriedades
Peso5=0.005

Funcao6=similarity.structure.DirectPropertybyRangeDomainSimilarity@6c04b35e
Peso6=0.49

Funcao7=similarity.structure.DirectPropertybyNameSimilarity@b637691
Peso7=0.51

############################
#Similaridade dos recursos

(Academic            ,Academic            ,1.0)
(Academic            ,PhdThesis           ,0.602)
(Academic            ,MastersThesis       ,0.602)
(Academic            ,School              ,0.28710213)
(Academic            ,Informal            ,0.2534375)
(Academic            ,Article             ,0.2254157)
(Academic            ,Collection          ,0.18514521)
(Academic            ,Part                ,0.18507892)
(Academic            ,Book                ,0.17014937)
(Academic            ,Chapter             ,0.15703304)
(Academic            ,Booklet             ,0.14683037)
(Academic            ,TechReport          ,0.14663573)
(Academic            ,MotionPicture       ,0.14653717)
(Academic            ,PersonList          ,0.12700436)
(Academic            ,PageRange           ,0.12569316)
(Academic            ,Deliverable         ,0.11496203)
(Academic            ,Publisher           ,0.11337197)
(Academic            ,InCollection        ,0.10400196)
(Academic            ,InProceedings       ,0.103947416)
(Academic            ,Date                ,0.10035808)
(Academic            ,Proceedings         ,0.09446771)
(Academic            ,Journal             ,0.09332792)
(Academic            ,Address             ,0.093170695)
(Academic            ,InBook              ,0.0874853)
(Academic            ,Report              ,0.08740954)
(Academic            ,Unpublished         ,0.08732834)
(Academic            ,Monograph           ,0.080854505)
(Academic            ,LectureNotes        ,0.0046874997)
(Academic            ,Misc                ,0.0046874997)
