############################################
Teste=225
Precisao=1.0
Recall=1.0
Encontrados=97
Esperados=97
############################################
Alinhamentos esperados:


Funcao1=similarity.structure.ConceptNameSimilarity@234c04bb
Peso1=0.005

Funcao2=similarity.structure.DirectIndividualSimilarity@54b34fc8
Peso2=0.0

Funcao3=similarity.structure.CommentTokenSimilarity@30d5231e
Peso3=0.995

Funcao4=class similarity.FunctionContainer@FuncoesHierarquia
Peso4=0.0

Funcao5=similarity.structure.DirectSuperClassSimilarity@2a1d4b78
Peso5=0.01

Funcao6=similarity.structure.DirectSubClassSimilarity@6937eb5c
Peso6=0.89

Funcao5=class similarity.FunctionContainer@FuncoesPropriedades
Peso5=0.0

Funcao6=similarity.structure.DirectPropertybyRangeDomainSimilarity@27b434bd
Peso6=0.52

Funcao7=similarity.structure.DirectPropertybyNameSimilarity@3ee03e86
Peso7=0.12

############################
#Similaridade dos recursos

(Academic            ,Academic            ,1.0)
(Academic            ,MastersThesis       ,0.5981538)
(Academic            ,PhdThesis           ,0.5981111)
(Academic            ,School              ,0.28491074)
(Academic            ,Informal            ,0.249375)
(Academic            ,Article             ,0.22173612)
(Academic            ,Collection          ,0.1819091)
(Academic            ,Part                ,0.1815341)
(Academic            ,Book                ,0.16583334)
(Academic            ,Chapter             ,0.15370193)
(Academic            ,TechReport          ,0.14314286)
(Academic            ,MotionPicture       ,0.14291209)
(Academic            ,Booklet             ,0.14214286)
(Academic            ,PageRange           ,0.12493055)
(Academic            ,PersonList          ,0.124875)
(Academic            ,Deliverable         ,0.111010104)
(Academic            ,Publisher           ,0.11055556)
(Academic            ,Date                ,0.10075)
(Academic            ,InCollection        ,0.10075)
(Academic            ,InProceedings       ,0.10026923)
(Academic            ,Address             ,0.09170455)
(Academic            ,Proceedings         ,0.09136364)
(Academic            ,Journal             ,0.09045455)
(Academic            ,Unpublished         ,0.083371215)
(Academic            ,InBook              ,0.08291667)
(Academic            ,Report              ,0.08291667)
(Academic            ,Monograph           ,0.076538466)
(Academic            ,Misc                ,0.00125)
(Academic            ,Conference          ,9.999999E-4)
(Academic            ,LectureNotes        ,8.333334E-4)
(Academic            ,Manual              ,6.25E-4)
(Academic            ,Reference           ,5.555555E-4)
(Academic            ,Institution         ,4.545453E-4)
(Address             ,Address             ,1.0)
(Address             ,Publisher           ,0.19955556)
(Address             ,Part                ,0.15379122)
(Address             ,Collection          ,0.15357693)
(Address             ,Book                ,0.14214286)
(Address             ,Chapter             ,0.13266668)
(Address             ,PageRange           ,0.10061111)
(Address             ,Conference          ,0.1005)
(Address             ,PersonList          ,0.1)
(Address             ,School              ,0.0995)
(Address             ,Date                ,0.09188312)
(Address             ,Academic            ,0.09170455)
(Address             ,Informal            ,0.09107955)
(Address             ,Article             ,0.08363096)
(Address             ,InCollection        ,0.083333336)
(Address             ,InBook              ,0.07107143)
(Address             ,TechReport          ,0.05952941)
(Address             ,Booklet             ,0.05852941)
(Address             ,PhdThesis           ,0.002222222)
(Address             ,MastersThesis       ,0.0019230768)
(Address             ,LectureNotes        ,0.00125)
(Address             ,InProceedings       ,0.001153846)
(Address             ,Reference           ,0.001111111)
(Address             ,Proceedings         ,9.090909E-4)
(Address             ,Misc                ,7.1428565E-4)
(Address             ,Journal             ,7.1428565E-4)
(Address             ,Monograph           ,5.555555E-4)
(Address             ,Deliverable         ,4.545453E-4)
(Address             ,Unpublished         ,4.545453E-4)
(Address             ,Report              ,0.0)
(Address             ,Institution         ,0.0)
(Address             ,MotionPicture       ,0.0)
(Address             ,Manual              ,0.0)
(Article             ,Article             ,1.0)
(Article             ,InProceedings       ,0.3324359)
(Article             ,School              ,0.24946429)
(Article             ,Academic            ,0.22173612)
(Article             ,Informal            ,0.22111112)
(Article             ,Proceedings         ,0.18181819)
(Article             ,Part                ,0.16726191)
(Article             ,Unpublished         ,0.16674243)
(Article             ,Report              ,0.16654763)
(Article             ,Collection          ,0.16633333)
(Article             ,Book                ,0.15307693)
(Article             ,Institution         ,0.14305195)
(Article             ,Chapter             ,0.14214286)
(Article             ,Booklet             ,0.13338096)
(Article             ,TechReport          ,0.13316667)
(Article             ,MotionPicture       ,0.12591346)
(Article             ,MastersThesis       ,0.12552884)
(Article             ,PhdThesis           ,0.12493055)
(Article             ,PageRange           ,0.11166667)
(Article             ,Conference          ,0.11155556)
(Article             ,PersonList          ,0.11155556)
(Article             ,Deliverable         ,0.100863636)
(Article             ,Publisher           ,0.10061111)
(Article             ,Date                ,0.09619048)
(Article             ,InCollection        ,0.09128788)
(Article             ,Address             ,0.08363096)
(Article             ,Journal             ,0.08291667)
(Article             ,InBook              ,0.076538466)
(Article             ,Monograph           ,0.07107143)
(Article             ,Reference           ,0.001111111)
(Article             ,LectureNotes        ,8.333334E-4)
(Article             ,Misc                ,7.1428565E-4)
(Article             ,Manual              ,7.1428565E-4)
(Book                ,Book                ,1.0)
(Book                ,Collection          ,0.5437273)
(Book                ,Part                ,0.30615386)
(Book                ,Chapter             ,0.26533335)
(Book                ,InCollection        ,0.24958333)
(Book                ,InBook              ,0.21654762)
(Book                ,Monograph           ,0.2001111)
(Book                ,School              ,0.18257576)
(Book                ,PersonList          ,0.18140909)
(Book                ,Date                ,0.1809091)
(Book                ,PageRange           ,0.1809091)
(Book                ,Informal            ,0.16645834)
(Book                ,Publisher           ,0.1663889)
(Book                ,Academic            ,0.16583334)
(Book                ,Article             ,0.15307693)
(Book                ,Proceedings         ,0.1425974)
(Book                ,Address             ,0.14214286)
(Book                ,Booklet             ,0.1134127)
(Book                ,TechReport          ,0.11105556)
(Book                ,MotionPicture       ,0.09122378)
(Book                ,MastersThesis       ,0.09045455)
(Book                ,PhdThesis           ,0.09045455)
(Book                ,Deliverable         ,0.076538466)
(Book                ,InProceedings       ,0.071456045)
(Book                ,Journal             ,0.067047626)
(Book                ,Report              ,0.06302083)
(Book                ,Unpublished         ,0.062642045)
(Book                ,Conference          ,5.000001E-4)
(Book                ,Institution         ,4.545453E-4)
(Book                ,LectureNotes        ,4.1666656E-4)
(Book                ,Reference           ,0.0)
(Book                ,Misc                ,0.0)
(Book                ,Manual              ,0.0)
(Booklet             ,Booklet             ,1.0)
(Booklet             ,Collection          ,0.1880625)
(Booklet             ,TechReport          ,0.15810525)
(Booklet             ,School              ,0.15379122)
(Booklet             ,Publisher           ,0.14325397)
(Booklet             ,Informal            ,0.14276786)
(Booklet             ,Academic            ,0.14214286)
(Booklet             ,Article             ,0.13338096)
(Booklet             ,Date                ,0.12011428)
(Booklet             ,Report              ,0.11777311)
(Booklet             ,Part                ,0.11777311)
(Booklet             ,Book                ,0.1134127)
(Booklet             ,Monograph           ,0.11166667)
(Booklet             ,Chapter             ,0.10545113)
(Booklet             ,Institution         ,0.083371215)
(Booklet             ,MotionPicture       ,0.077692315)
(Booklet             ,PhdThesis           ,0.07709402)
(Booklet             ,MastersThesis       ,0.07692308)
(Booklet             ,PersonList          ,0.072571434)
(Booklet             ,Conference          ,0.07207143)
(Booklet             ,PageRange           ,0.07107143)
(Booklet             ,Deliverable         ,0.06678788)
(Booklet             ,InCollection        ,0.063854165)
(Booklet             ,InProceedings       ,0.06295673)
(Booklet             ,Proceedings         ,0.0594385)
(Booklet             ,Journal             ,0.059243698)
(Booklet             ,Address             ,0.05852941)
(Booklet             ,InBook              ,0.05670635)
(Booklet             ,Unpublished         ,0.05618687)
(Booklet             ,LectureNotes        ,8.333334E-4)
(Booklet             ,Reference           ,5.555555E-4)
(Booklet             ,Misc                ,0.0)
(Booklet             ,Manual              ,0.0)
(Chapter             ,Chapter             ,1.0)
(Chapter             ,InCollection        ,0.45310608)
(Chapter             ,Part                ,0.2857143)
(Chapter             ,Collection          ,0.2852857)
(Chapter             ,Book                ,0.26533335)
(Chapter             ,Unpublished         ,0.19945455)
(Chapter             ,InBook              ,0.199)
(Chapter             ,School              ,0.16654763)
(Chapter             ,PageRange           ,0.1663889)
(Chapter             ,PersonList          ,0.16583334)
(Chapter             ,Publisher           ,0.15418804)
(Chapter             ,Academic            ,0.15370193)
(Chapter             ,Informal            ,0.15307693)
(Chapter             ,Article             ,0.14214286)
(Chapter             ,Address             ,0.13266668)
(Chapter             ,Date                ,0.12651786)
(Chapter             ,Monograph           ,0.11705882)
(Chapter             ,TechReport          ,0.106236845)
(Chapter             ,Booklet             ,0.10545113)
(Chapter             ,MastersThesis       ,0.08407052)
(Chapter             ,MotionPicture       ,0.08407052)
(Chapter             ,PhdThesis           ,0.08402778)
(Chapter             ,Deliverable         ,0.07198052)
(Chapter             ,InProceedings       ,0.06671795)
(Chapter             ,Proceedings         ,0.062642045)
(Chapter             ,Journal             ,0.0621875)
(Chapter             ,Report              ,0.059243698)
(Chapter             ,LectureNotes        ,0.00125)
(Chapter             ,Conference          ,9.999999E-4)
(Chapter             ,Manual              ,7.1428565E-4)
(Chapter             ,Reference           ,5.555555E-4)
(Chapter             ,Institution         ,4.545453E-4)
(Chapter             ,Misc                ,0.0)
(Collection          ,Collection          ,1.0)
(Collection          ,Book                ,0.5437273)
(Collection          ,Part                ,0.33216667)
(Collection          ,Monograph           ,0.30665386)
(Collection          ,Chapter             ,0.2852857)
(Collection          ,InCollection        ,0.2755303)
(Collection          ,InBook              ,0.23011538)
