############################################
Teste=233
Precisao=1.0
Recall=1.0
Encontrados=33
Esperados=33
############################################
Alinhamentos esperados:


Funcao1=similarity.structure.ConceptNameSimilarity@4aa78102
Peso1=0.005

Funcao2=similarity.structure.DirectIndividualSimilarity@60c0cfab
Peso2=0.485

Funcao3=similarity.structure.CommentTokenSimilarity@6f81ecc8
Peso3=0.51

Funcao4=class similarity.FunctionContainer@FuncoesHierarquia
Peso4=0.0

Funcao5=similarity.structure.DirectSuperClassSimilarity@53bd48f0
Peso5=0.39

Funcao6=similarity.structure.DirectSubClassSimilarity@25e46c14
Peso6=0.24

Funcao5=class similarity.FunctionContainer@FuncoesPropriedades
Peso5=0.0

Funcao6=similarity.structure.DirectPropertybyRangeDomainSimilarity@433f4294
Peso6=0.37

Funcao7=similarity.structure.DirectPropertybyNameSimilarity@23380197
Peso7=0.22

############################
#Similaridade dos recursos

(Academic            ,Academic            ,1.0)
(Academic            ,MastersThesis       ,0.79215384)
(Academic            ,PhdThesis           ,0.79211116)
(Academic            ,School              ,0.6313393)
(Academic            ,Informal            ,0.613125)
(Academic            ,Collection          ,0.57872725)
(Academic            ,Part                ,0.57835233)
(Academic            ,Book                ,0.57)
(Academic            ,Chapter             ,0.56408656)
(Academic            ,TechReport          ,0.55885714)
(Academic            ,MotionPicture       ,0.5586264)
(Academic            ,Booklet             ,0.55785716)
(Academic            ,PageRange           ,0.54930556)
(Academic            ,PersonList          ,0.54925)
(Academic            ,Deliverable         ,0.54212123)
(Academic            ,InCollection        ,0.53725004)
(Academic            ,Date                ,0.53725004)
(Academic            ,Address             ,0.53261364)
(Academic            ,Unpublished         ,0.5279546)
(Academic            ,Report              ,0.52750003)
(Academic            ,LectureNotes        ,0.48583335)
(Academic            ,Manual              ,0.48562503)
(Academic            ,Reference           ,0.48555556)
(Academic            ,Institution         ,0.48545456)
(Academic            ,Article             ,0.11395833)
(Academic            ,Publisher           ,0.056666665)
(Academic            ,InProceedings       ,0.05176923)
(Academic            ,Proceedings         ,0.047272727)
(Academic            ,Journal             ,0.046363637)
(Academic            ,InBook              ,0.0425)
(Academic            ,Monograph           ,0.03923077)
(Academic            ,Misc                ,0.00125)
(Academic            ,Conference          ,9.999999E-4)
(Address             ,Address             ,1.0)
(Address             ,Part                ,0.56417584)
(Address             ,Collection          ,0.56396157)
(Address             ,Book                ,0.55785716)
(Address             ,Chapter             ,0.55300003)
(Address             ,PageRange           ,0.53711116)
(Address             ,PersonList          ,0.5365)
(Address             ,School              ,0.536)
(Address             ,Date                ,0.5327922)
(Address             ,Academic            ,0.53261364)
(Address             ,Informal            ,0.5319887)
(Address             ,InCollection        ,0.52791667)
(Address             ,TechReport          ,0.516)
(Address             ,Booklet             ,0.515)
(Address             ,PhdThesis           ,0.48722222)
(Address             ,MastersThesis       ,0.4869231)
(Address             ,LectureNotes        ,0.48625)
(Address             ,Reference           ,0.48611113)
(Address             ,Deliverable         ,0.48545456)
(Address             ,Unpublished         ,0.48545456)
(Address             ,Manual              ,0.485)
(Address             ,Report              ,0.485)
(Address             ,MotionPicture       ,0.485)
(Address             ,Institution         ,0.485)
(Address             ,Publisher           ,0.10255555)
(Address             ,Conference          ,0.051999997)
(Address             ,Article             ,0.043214288)
(Address             ,InBook              ,0.03642857)
(Address             ,Journal             ,0.024537116)
(Address             ,InProceedings       ,0.001153846)
(Address             ,Proceedings         ,9.090909E-4)
(Address             ,Misc                ,7.1428565E-4)
