               Date           Article        InProceedi.    Informal       Part           Chapter        Report         Manual         Misc           MastersThe.    Unpublishe.    MotionPict.    Book           School         Proceeding.    Journal        Institutio.    Booklet        PhdThesis      Address        Academic       Publisher      TechReport     InBook         Monograph      Reference      LectureNot.    Conference     Deliverabl.    PageRange      InCollecti.    Collection     PersonList     
Date            1,10           0,24           0,09           0,18           0,37           0,50           0,18           0,31           0,05           0,36           0,26           0,32           0,18           0,23           0,10           0,03           0,25           0,30           0,35           0,59           0,37           0,15           0,26           0,03           0,11           0,08           0,31           0,11           0,39           0,54           0,25           0,26           0,23         
Article         0,24           1,42           0,33           0,02           0,24           0,22           0,13           0,16           0,16           0,22           0,19           0,28           0,02           0,15           0,16           0,03           0,17           0,16           0,14           0,14           0,12           0,21           0,20           0,22           0,03           0,16           0,18           0,18           0,32           0,19           0,34           0,11           0,22         
InProceed.      0,09           0,33           0,94           0,19           0,09           0,28           0,14           0,06           0,11           0,17           0,17           0,11           0,08           0,11           0,64           0,14           0,20           0,17           0,28           0,20           0,14           0,11           0,18           0,39           0,09           0,17           0,17           0,20           0,18           0,26           0,44           0,14           0,19         
Informal        0,18           0,02           0,19           1,07           0,44           0,18           0,53           0,38           0,19           0,24           0,27           0,46           0,44           0,34           0,00           0,27           0,31           0,29           0,18           0,27           0,44           0,00           0,29           0,29           0,16           0,16           0,26           0,22           0,35           0,26           0,36           0,16           0,23         
Part            0,37           0,24           0,09           0,44           1,07           0,40           0,71           0,33           0,20           0,36           0,28           0,47           0,35           0,17           0,08           0,12           0,24           0,32           0,35           0,30           0,44           0,09           0,45           0,03           0,09           0,08           0,33           0,08           0,30           0,43           0,25           0,24           0,39         
Chapter         0,50           0,22           0,28           0,18           0,40           1,10           0,29           0,32           0,05           0,38           0,28           0,38           0,18           0,31           0,10           0,03           0,26           0,32           0,38           0,19           0,28           0,21           0,50           0,22           0,03           0,08           0,40           0,18           0,42           0,27           0,50           0,34           0,24         
Report          0,18           0,13           0,14           0,53           0,71           0,29           1,10           0,20           0,19           0,29           0,27           0,46           0,47           0,28           0,13           0,00           0,24           0,31           0,18           0,18           0,35           0,00           0,66           0,14           0,16           0,24           0,39           0,08           0,36           0,26           0,30           0,24           0,38         
Manual          0,31           0,16           0,06           0,38           0,33           0,32           0,20           1,10           0,19           0,33           0,51           0,40           0,20           0,35           0,06           0,24           0,25           0,38           0,22           0,19           0,30           0,07           0,24           0,06           0,30           0,00           0,44           0,11           0,37           0,35           0,28           0,22           0,26         
Misc            0,05           0,16           0,11           0,19           0,20           0,05           0,19           0,19           1,10           0,16           0,21           0,39           0,19           0,03           0,10           0,03           0,09           0,07           0,13           0,16           0,38           0,19           0,10           0,05           0,11           0,08           0,07           0,11           0,16           0,05           0,11           0,11           0,18         
MastersTh.      0,36           0,22           0,17           0,24           0,36           0,38           0,29           0,33           0,16           1,10           0,33           0,27           0,18           0,32           0,14           0,09           0,36           0,27           0,71           0,47           0,35           0,22           0,30           0,06           0,20           0,17           0,38           0,20           0,30           0,41           0,22           0,30           0,41         
Unpublish.      0,26           0,19           0,17           0,27           0,28           0,28           0,27           0,51           0,21           0,33           1,10           0,29           0,27           0,29           0,06           0,10           0,25           0,51           0,28           0,26           0,27           0,59           0,24           0,19           0,12           0,07           0,50           0,10           0,24           0,26           0,34           0,22           0,32         
MotionPic.      0,32           0,28           0,11           0,46           0,47           0,38           0,46           0,40           0,39           0,27           0,29           1,10           0,46           0,25           0,09           0,14           0,29           0,40           0,27           0,21           0,47           0,14           0,37           0,16           0,20           0,11           0,29           0,20           0,37           0,27           0,38           0,36           0,41         
Book            0,18           0,02           0,08           0,44           0,35           0,18           0,47           0,20           0,19           0,18           0,27           0,46           1,10           0,40           0,07           0,10           0,24           0,61           0,18           0,18           0,35           0,08           0,29           0,50           0,16           0,00           0,26           0,07           0,22           0,18           0,30           0,30           0,23         
School          0,23           0,15           0,11           0,34           0,17           0,31           0,28           0,35           0,03           0,32           0,29           0,25           0,40           1,10           0,12           0,14           0,37           0,33           0,29           0,23           0,26           0,22           0,43           0,29           0,13           0,00           0,35           0,03           0,28           0,23           0,33           0,35           0,37         
Proceedin.      0,10           0,16           0,64           0,00           0,08           0,10           0,13           0,06           0,10           0,14           0,06           0,09           0,07           0,12           0,94           0,16           0,02           0,19           0,30           0,16           0,14           0,12           0,13           0,03           0,29           0,20           0,18           0,23           0,13           0,30           0,15           0,35           0,16         
Journal         0,03           0,03           0,14           0,27           0,12           0,03           0,00           0,24           0,03           0,09           0,10           0,14           0,10           0,14           0,16           1,23           0,07           0,14           0,03           0,14           0,01           0,03           0,11           0,03           0,19           0,16           0,21           0,25           0,16           0,19           0,09           0,11           0,11         
Instituti.      0,25           0,17           0,20           0,31           0,24           0,26           0,24           0,25           0,09           0,36           0,25           0,29           0,24           0,37           0,02           0,07           1,10           0,25           0,33           0,18           0,25           0,15           0,20           0,23           0,02           0,00           0,24           0,00           0,20           0,18           0,56           0,44           0,26         
Booklet         0,30           0,16           0,17           0,29           0,32           0,32           0,31           0,38           0,07           0,27           0,51           0,40           0,61           0,33           0,19           0,14           0,25           1,10           0,30           0,19           0,21           0,23           0,38           0,26           0,22           0,08           0,50           0,18           0,31           0,19           0,46           0,43           0,41         
PhdThesis       0,35           0,14           0,28           0,18           0,35           0,38           0,18           0,22           0,13           0,71           0,28           0,27           0,18           0,29           0,30           0,03           0,33           0,30           1,10           0,51           0,35           0,13           0,26           0,06           0,03           0,08           0,40           0,11           0,26           0,27           0,34           0,26           0,41         
Address         0,59           0,14           0,20           0,27           0,30           0,19           0,18           0,19           0,16           0,47           0,26           0,21           0,18           0,23           0,16           0,14           0,18           0,19           0,51           1,10           0,37           0,15           0,34           0,03           0,11           0,16           0,37           0,18           0,26           0,54           0,25           0,26           0,30         
Academic        0,37           0,12           0,14           0,44           0,44           0,28           0,35           0,30           0,38           0,35           0,27           0,47           0,35           0,26           0,14           0,01           0,25           0,21           0,35           0,37           1,10           0,01           0,37           0,03           0,01           0,08           0,33           0,15           0,30           0,27           0,37           0,31           0,24         
Publisher       0,15           0,21           0,11           0,00           0,09           0,21           0,00           0,07           0,19           0,22           0,59           0,14           0,08           0,22           0,12           0,03           0,15           0,23           0,13           0,15           0,01           1,18           0,12           0,13           0,05           0,00           0,19           0,03           0,18           0,15           0,11           0,12           0,21         
TechRepor.      0,26           0,20           0,18           0,29           0,45           0,50           0,66           0,24           0,10           0,30           0,24           0,37           0,29           0,43           0,13           0,11           0,20           0,38           0,26           0,34           0,37           0,12           1,10           0,20           0,14           0,22           0,54           0,11           0,51           0,26           0,41           0,22           0,37         
InBook          0,03           0,22           0,39           0,29           0,03           0,22           0,14           0,06           0,05           0,06           0,19           0,16           0,50           0,29           0,03           0,03           0,23           0,26           0,06           0,03           0,03           0,13           0,20           1,10           0,11           0,00           0,12           0,11           0,19           0,03           0,46           0,11           0,15         
Monograph       0,11           0,03           0,09           0,16           0,09           0,03           0,16           0,30           0,11           0,20           0,12           0,20           0,16           0,13           0,29           0,19           0,02           0,22           0,03           0,11           0,01           0,05           0,14           0,11           1,10           0,00           0,12           0,25           0,20           0,11           0,09           0,29           0,11         
Reference       0,08           0,16           0,17           0,16           0,08           0,08           0,24           0,00           0,08           0,17           0,07           0,11           0,00           0,00           0,20           0,16           0,00           0,08           0,08           0,16           0,08           0,00           0,22           0,00           0,00           0,96           0,30           0,74           0,26           0,32           0,06           0,07           0,07         
LectureNo.      0,31           0,18           0,17           0,26           0,33           0,40           0,39           0,44           0,07           0,38           0,50           0,29           0,26           0,35           0,18           0,21           0,24           0,50           0,40           0,37           0,33           0,19           0,54           0,12           0,12           0,30           1,10           0,27           0,42           0,37           0,34           0,34           0,37         
Conferenc.      0,11           0,18           0,20           0,22           0,08           0,18           0,08           0,11           0,11           0,20           0,10           0,20           0,07           0,03           0,23           0,25           0,00           0,18           0,11           0,18           0,15           0,03           0,11           0,11           0,25           0,74           0,27           0,75           0,23           0,32           0,21           0,25           0,03         
Deliverab.      0,39           0,32           0,18           0,35           0,30           0,42           0,36           0,37           0,16           0,30           0,24           0,37           0,22           0,28           0,13           0,16           0,20           0,31           0,26           0,26           0,30           0,18           0,51           0,19           0,20           0,26           0,42           0,23           1,10           0,46           0,35           0,36           0,29         
PageRange       0,54           0,19           0,26           0,26           0,43           0,27           0,26           0,35           0,05           0,41           0,26           0,27           0,18           0,23           0,30           0,19           0,18           0,19           0,27           0,54           0,27           0,15           0,26           0,03           0,11           0,32           0,37           0,32           0,46           1,10           0,25           0,26           0,37         
InCollect.      0,25           0,34           0,44           0,36           0,25           0,50           0,30           0,28           0,11           0,22           0,34           0,38           0,30           0,33           0,15           0,09           0,56           0,46           0,34           0,25           0,37           0,11           0,41           0,46           0,09           0,06           0,34           0,21           0,35           0,25           1,10           0,79           0,36         
Collectio.      0,26           0,11           0,14           0,16           0,24           0,34           0,24           0,22           0,11           0,30           0,22           0,36           0,30           0,35           0,35           0,11           0,44           0,43           0,26           0,26           0,31           0,12           0,22           0,11           0,29           0,07           0,34           0,25           0,36           0,26           0,79           1,10           0,26         
PersonLis.      0,23           0,22           0,19           0,23           0,39           0,24           0,38           0,26           0,18           0,41           0,32           0,41           0,23           0,37           0,16           0,11           0,26           0,41           0,41           0,30           0,24           0,21           0,37           0,15           0,11           0,07           0,37           0,03           0,29           0,37           0,36           0,26           1,10         
affiliati.      1,10           0,45           0,45           0,45           0,19           0,45           0,45           0,45           0,45           0,38           0,51           0,45           0,51           0,45           0,38           0,45           0,44           0,45           0,51           0,45           0,71           0,51           0,26           0,51           0,51           0,40           0,43           0,45           0,51           0,45           0,51           0,45           0,45           0,45           0,38           0,45           0,45           0,45           0,26           0,51           0,71           0,45           0,64           0,45           0,39           0,45           0,54           0,51           0,52           0,19           0,45           0,32           0,39           0,45           0,26           0,51           0,74           0,69           0,45           0,45           0,45           0,47           0,51           0,26         
startPage       0,45           1,10           0,46           0,54           0,19           0,54           0,38           0,54           0,46           0,38           0,46           0,54           0,78           0,54           0,46           0,70           0,44           0,78           0,54           0,38           0,46           0,62           0,27           0,38           0,54           0,45           0,53           0,70           0,38           0,54           0,38           0,70           0,54           0,46           0,38           0,46           0,46           0,62           0,27           0,38           0,46           0,38           0,51           0,46           0,27           0,46           0,59           0,38           0,19           0,26           0,54           0,19           0,35           0,62           0,35           0,62           0,50           0,43           0,46           0,62           0,54           0,47           0,62           0,19         
day             0,45           0,46           1,10           0,38           0,19           0,48           0,46           0,38           0,38           0,62           0,56           0,38           0,52           0,56           0,38           0,59           0,38           0,46           0,38           0,38           0,48           0,38           0,19           0,38           0,47           0,35           0,38           0,47           0,51           0,38           0,38           0,47           0,56           0,38           0,47           0,48           0,38           0,38           0,19           0,38           0,47           0,46           0,38           0,38           0,31           0,38           0,44           0,38           0,19           0,26           0,47           0,27           0,19           0,52           0,30           0,38           0,44           0,43           0,48           0,52           0,47           0,41           0,74           0,19         
price           0,45           0,54           0,38           1,10           0,31           0,48           0,62           0,62           0,38           0,38           0,52           0,67           0,52           0,52           0,56           0,48           0,56           0,54           0,50           0,56           0,48           0,52           0,34           0,38           0,56           0,45           0,53           0,47           0,64           0,52           0,38           0,47           0,38           0,52           0,38           0,38           0,47           0,52           0,31           0,52           0,47           0,62           0,45           0,38           0,31           0,38           0,53           0,62           0,26           0,46           0,47           0,35           0,19           0,52           0,30           0,74           0,50           0,48           0,48           0,52           0,56           0,47           0,52           0,19         
number          0,19           0,19           0,19           0,31           1,10           0,40           0,19           0,31           0,19           0,31           0,19           0,31           0,31           0,55           0,73           0,30           0,31           0,27           0,31           0,28           0,19           0,31           0,50           0,31           0,19           0,47           0,30           0,28           0,19           0,43           0,19           0,37           0,31           0,31           0,28           0,30           0,28           0,31           0,50           0,19           0,19           0,35           0,32           0,19           0,35           0,19           0,16           0,43           0,29           0,28           0,37           0,31           0,47           0,19           0,32           0,28           0,25           0,24           0,30           0,31           0,28           0,40           0,31           0,22         
chapter         0,45           0,54           0,48           0,48           0,40           1,10           0,46           0,48           0,48           0,48           0,59           0,48           0,69           0,59           0,56           0,48           0,50           0,54           0,59           0,47           0,38           0,48           0,30           0,38           0,38           0,40           0,48           0,47           0,38           0,59           0,38           0,38           0,59           0,38           0,38           0,59           0,56           0,59           0,30           0,38           0,47           0,62           0,45           0,48           0,40           0,48           0,53           0,54           0,34           0,26           1,01           0,35           0,40           0,59           0,19           0,47           0,50           0,48           0,38           0,59           0,47           0,53           0,69           0,19         
copyright       0,45           0,38           0,46           0,62           0,19           0,46           1,10           0,54           0,54           0,46           0,54           0,46           0,38           0,38           0,38           0,46           0,62           0,38           0,38           0,38           0,46           0,46           0,19           0,46           0,54           0,40           0,53           0,38           0,51           0,46           0,46           0,46           0,46           0,46           0,46           0,54           0,54           0,46           0,27           0,38           0,54           0,46           0,45           0,38           0,27           0,46           0,51           0,46           0,34           0,32           0,46           0,19           0,19           0,54           0,35           0,38           0,50           0,59           0,46           0,54           0,70           0,41           0,38           0,27         
series          0,45           0,54           0,38           0,62           0,31           0,48           0,54           1,10           0,38           0,50           0,50           0,62           0,62           0,50           0,47           0,38           0,50           0,54           0,38           0,65           0,48           0,50           0,31           0,38           0,56           0,45           0,53           0,47           0,58           0,50           0,50           0,38           0,50           0,50           0,56           0,38           0,56           0,50           0,19           0,38           0,47           0,54           0,51           0,50           0,31           0,50           0,53           0,54           0,34           0,39           0,56           0,35           0,19           0,62           0,30           0,65           0,44           0,48           0,59           0,62           0,47           0,41           0,50           0,19         
month           0,45           0,46           0,38           0,38           0,19           0,48           0,54           0,38           1,10           0,38           0,52           0,38           0,52           0,38           0,56           0,38           0,50           0,54           0,62           0,38           0,48           0,38           0,19           0,38           0,47           0,45           0,48           0,47           0,51           0,67           0,38           0,47           0,38           0,38           0,47           0,69           0,65           0,38           0,31           0,38           0,56           0,46           0,45           0,38           0,31           0,52           0,44           0,46           0,34           0,32           0,47           0,27           0,31           0,52           0,40           0,38           0,50           0,53           0,38           0,38           0,65           0,53           0,52           0,34         
key             0,38           0,38           0,62           0,38           0,31           0,48           0,46           0,50           0,38           1,10           0,56           0,38           0,38           0,38           0,47           0,38           0,44           0,38           0,38           0,47           0,38           0,38           0,19           0,38           0,38           0,40           0,43           0,38           0,51           0,38           0,38           0,38           0,56           0,38           0,65           0,48           0,47           0,38           0,19           0,38           0,38           0,46           0,38           0,38           0,19           0,52           0,35           0,46           0,26           0,26           0,47           0,27           0,19           0,38           0,19           0,47           0,38           0,38           0,48           0,52           0,38           0,41           0,38           0,19         
city            0,51           0,46           0,56           0,52           0,19           0,59           0,54           0,50           0,52           0,56           1,10           0,56           0,52           0,38           0,38           0,38           0,44           0,46           0,50           0,47           0,59           0,67           0,19           0,38           0,47           0,35           0,48           0,47           0,64           0,56           0,38           0,38           0,38           0,38           0,38           0,69           0,56           0,38           0,19           0,38           0,56           0,46           0,51           0,50           0,43           0,38           0,44           0,46           0,34           0,32           0,56           0,35           0,31           0,52           0,19           0,47           0,50           0,53           0,38           0,38           0,56           0,47           0,56           0,19         
size            0,45           0,54           0,38           0,67           0,31           0,48           0,46           0,62           0,38           0,38           0,56           1,10           0,67           0,56           0,47           0,48           0,50           0,54           0,50           0,56           0,48           0,67           0,48           0,56           0,47           0,40           0,53           0,56           0,45           0,56           0,56           0,47           0,38           0,38           0,38           0,38           0,47           0,56           0,31           0,38           0,47           0,62           0,51           0,50           0,31           0,38           0,44           0,54           0,26           0,26           0,47           0,35           0,19           0,38           0,19           0,56           0,50           0,43           0,48           0,52           0,38           0,41           0,56           0,19         
state           0,51           0,78           0,52           0,52           0,31           0,69           0,38           0,62           0,52           0,38           0,52           0,67           1,10           0,67           0,47           0,59           0,44           0,70           0,62           0,47           0,48           0,67           0,34           0,38           0,65           0,40           0,53           0,74           0,45           0,67           0,38           0,56           0,52           0,38           0,38           0,48           0,56           0,67           0,31           0,38           0,56           0,54           0,58           0,50           0,31           0,38           0,62           0,46           0,26           0,26           0,65           0,27           0,31           0,52           0,19           0,56           0,50           0,48           0,48           0,52           0,56           0,47           0,81           0,19         
name            0,45           0,54           0,56           0,52           0,55           0,59           0,38           0,50           0,38           0,38           0,38           0,56           0,67           1,10           0,65           0,69           0,44           0,70           0,62           0,47           0,38           0,52           0,34           0,38           0,47           0,50           0,43           0,74           0,38           0,74           0,38           0,65           0,38           0,38           0,38           0,48           0,47           0,56           0,43           0,38           0,47           0,54           0,45           0,38           0,19           0,38           0,44           0,46           0,26           0,26           0,56           0,27           0,19           0,52           0,30           0,47           0,50           0,48           0,48           0,67           0,56           0,47           0,74           0,19         
mrNumber        0,38           0,46           0,38           0,56           0,73           0,56           0,38           0,47           0,56           0,47           0,38           0,47           0,47           0,65           1,10           0,47           0,50           0,54           0,56           0,47           0,38           0,47           0,37           0,47           0,38           0,55           0,53           0,47           0,45           0,56           0,38           0,56           0,47           0,47           0,38           0,47           0,47           0,47           0,46           0,38           0,38           0,62           0,45           0,38           0,28           0,38           0,35           0,54           0,19           0,26           0,47           0,27           0,37           0,38           0,28           0,56           0,50           0,48           0,38           0,47           0,47           0,53           0,47           0,19         
endPage         0,45           0,70           0,59           0,48           0,30           0,48           0,46           0,38           0,38           0,38           0,38           0,48           0,59           0,69           0,47           1,10           0,50           0,54           0,59           0,47           0,48           0,48           0,30           0,38           0,47           0,45           0,48           0,56           0,51           0,59           0,38           0,74           0,48           0,38           0,47           0,38           0,47           0,59           0,30           0,38           0,38           0,46           0,45           0,38           0,40           0,48           0,44           0,46           0,19           0,39           0,47           0,19           0,19           0,48           0,19           0,47           0,50           0,48           0,48           0,69           0,56           0,47           0,69           0,19         
howPublis.      0,44           0,44           0,38           0,56           0,31           0,50           0,62           0,50           0,50           0,44           0,44           0,50           0,44           0,44           0,50           0,50           1,10           0,50           0,44           0,56           0,44           0,50           0,31           0,50           0,44           0,35           0,84           0,44           0,44           0,50           0,50           0,50           0,38           0,50           0,44           0,50           0,50           0,50           0,37           0,44           0,50           0,56           0,38           0,44           0,25           0,38           0,41           0,86           0,31           0,25           0,50           0,25           0,31           0,50           0,31           0,50           0,38           0,48           0,44           0,50           0,44           0,41           0,44           0,25         
shortName       0,45           0,78           0,46           0,54           0,27           0,54           0,38           0,54           0,54           0,38           0,46           0,54           0,70           0,70           0,54           0,54           0,50           1,10           0,54           0,38           0,46           0,54           0,27           0,46           0,54           0,55           0,48           0,78           0,45           0,62           0,46           0,54           0,46           0,46           0,38           0,54           0,54           0,54           0,43           0,46           0,46           0,54           0,45           0,54           0,27           0,46           0,51           0,38           0,19           0,26           0,54           0,19           0,27           0,54           0,43           0,54           0,50           0,48           0,46           0,46           0,62           0,47           0,54           0,27         
annote          0,51           0,54           0,38           0,50           0,31           0,59           0,38           0,38           0,62           0,38           0,50           0,50           0,62           0,62           0,56           0,59           0,44           0,54           1,10           0,47           0,38           0,50           0,31           0,38           0,47           0,45           0,48           0,65           0,51           0,86           0,38           0,65           0,38           0,38           0,47           0,48           0,56           0,50           0,31           0,38           0,47           0,54           0,51           0,50           0,31           0,50           0,44           0,46           0,26           0,26           0,56           0,27           0,31           0,50           0,19           0,56           0,56           0,48           0,48           0,38           0,47           0,53           0,62           0,31         
reviewed        0,45           0,38           0,38           0,56           0,28           0,47           0,38           0,65           0,38           0,47           0,47           0,56           0,47           0,47           0,47           0,47           0,56           0,38           0,47           1,10           0,56           0,56           0,28           0,47           0,38           0,45           0,59           0,38           0,51           0,47           0,47           0,38           0,47           0,38           0,47           0,38           0,47           0,47           0,28           0,38           0,38           0,54           0,45           0,38           0,37           0,65           0,35           0,54           0,26           0,32           0,38           0,27           0,19           0,38           0,19           0,56           0,50           0,43           0,47           0,47           0,38           0,41           0,47           0,19         
edition         0,71           0,46           0,48           0,48           0,19           0,38           0,46           0,48           0,48           0,38           0,59           0,48           0,48           0,38           0,38           0,48           0,44           0,46           0,38           0,56           1,10           0,59           0,30           0,59           0,47           0,45           0,48           0,47           0,64           0,48           0,59           0,38           0,38           0,38           0,47           0,38           0,47           0,48           0,19           0,48           0,74           0,46           0,71           0,48           0,71           0,48           0,44           0,46           0,48           0,32           0,47           0,35           0,40           0,48           0,19           0,47           0,68           0,64           0,48           0,38           0,47           0,41           0,59           0,30         
title           0,51           0,62           0,38           0,52           0,31           0,48           0,46           0,50           0,38           0,38           0,67           0,67           0,67           0,52           0,47           0,48           0,50           0,54           0,50           0,56           0,59           1,10           0,34           0,52           0,47           0,45           0,59           0,56           0,45           0,67           0,52           0,47           0,38           0,52           0,38           0,48           0,47           0,67           0,31           0,38           0,47           0,46           0,58           0,38           0,43           0,38           0,44           0,54           0,34           0,26           0,47           0,35           0,31           0,38           0,19           0,74           0,50           0,48           0,48           0,38           0,47           0,41           0,67           0,19         
issue           0,26           0,27           0,19           0,34           0,50           0,30           0,19           0,31           0,19           0,19           0,19           0,48           0,34           0,34           0,37           0,30           0,31           0,27           0,31           0,28           0,30           0,34           1,10           0,48           0,28           0,26           0,40           0,37           0,26           0,34           0,63           0,37           0,19           0,19           0,19           0,19           0,28           0,34           0,62           0,19           0,19           0,27           0,39           0,19           0,23           0,19           0,34           0,35           0,29           0,28           0,28           0,31           0,23           0,19           0,22           0,28           0,25           0,24           0,30           0,19           0,19           0,22           0,34           0,22         
isbn            0,51           0,38           0,38           0,38           0,31           0,38           0,46           0,38           0,38           0,38           0,38           0,56           0,38           0,38           0,47           0,38           0,50           0,46           0,38           0,47           0,59           0,52           0,48           1,10           0,47           0,40           0,53           0,56           0,45           0,38           0,92           0,38           0,38           0,38           0,38           0,48           0,47           0,38           0,19           0,56           0,47           0,46           0,58           0,38           0,31           0,52           0,53           0,54           0,26           0,26           0,38           0,27           0,19           0,38           0,30           0,47           0,50           0,48           0,38           0,38           0,38           0,41           0,38           0,19         
abstract        0,51           0,54           0,47           0,56           0,19           0,38           0,54           0,56           0,47           0,38           0,47           0,47           0,65           0,47           0,38           0,47           0,44           0,54           0,47           0,38           0,47           0,47           0,28           0,47           1,10           0,45           0,48           0,65           0,51           0,47           0,47           0,47           0,47           0,47           0,38           0,47           0,47           0,47           0,19           0,47           0,38           0,38           0,58           0,47           0,28           0,47           0,44           0,46           0,26           0,19           0,38           0,27           0,37           0,47           0,28           0,47           0,44           0,48           0,56           0,38           0,83           0,47           0,47           0,28         
